"Any","Codi municipi","Municipi","Comarca","Població","Autocompostatge","Matèria orgànica","Poda i jardineria","Paper i cartró","Vidre","Envasos lleugers","Residus voluminosos + fusta","RAEE","Ferralla","Olis vegetals","Tèxtil","Runes","Residus en Petites Quantitats (RPQ)","Piles","Medicaments","Altres recollides selectives","Total Recollida Selectiva","R.S. / R.M. % total","Kg/hab/any recollida selectiva","Resta a Dipòsit","Resta a Incineració","Resta a Tractament Mecànic Biològic","Resta (sense desglossar)","Suma Fracció Resta","F.R. / R.M. %","Generació Residus Municipal Totals","Kg / hab / dia","Kg / hab / any"
"2000","80109","Artés","Bages","4.308","0,00","0,00","0,00","38,50","43,80","2,90","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,25","0,20","0,00","85,65","4,77","19,88","0,00","0,00","0,00","1.708,17","1.708,17","95,23","1.793,82","1,14","416,39"
"2000","250334","Artesa de Lleida","Segrià","1.217","0,00","0,00","0,00","32,45","35,00","104,13","12,00","0,00","0,00","0,00","0,00","0,00","0,00","0,12","0,06","0,00","183,76","30,31","150,99","0,00","0,00","0,00","422,49","422,49","69,69","606,25","1,36","498,15"
"2000","250349","Artesa de Segre","Noguera","3.068","0,00","0,00","0,00","28,27","44,00","4,91","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,05","0,14","2,85","80,23","4,87","26,15","0,00","0,00","0,00","1.567,79","1.567,79","95,13","1.648,02","1,47","537,16"
"2000","430192","Ascó","Ribera d'Ebre","1.714","0,00","0,00","0,00","34,13","12,74","3,85","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,08","0,00","50,80","7,72","29,64","0,00","0,00","0,00","606,92","606,92","92,28","657,72","1,05","383,74"
"2000","250365","Aspa","Segrià","251","0,00","0,00","0,00","1,51","2,20","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,00","3,72","4,10","14,83","0,00","0,00","0,00","87,14","87,14","95,90","90,86","0,99","361,98"
"2000","250371","Avellanes i Santa Linya, les","Noguera","460","0,00","0,00","0,00","5,21","8,00","1,61","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,02","0,43","15,28","5,56","33,22","0,00","0,00","0,00","259,64","259,64","94,44","274,92","1,64","597,65"
"2000","80116","Avià","Berguedà","1.810","0,00","0,00","0,42","29,08","24,24","5,54","17,03","0,00","0,00","0,00","0,00","0,00","0,00","0,12","0,09","14,66","91,17","9,33","50,37","0,00","0,00","0,00","885,96","885,96","90,67","977,13","1,48","539,85"
"2000","80121","Avinyó","Bages","2.003","0,00","0,00","0,00","24,30","22,10","3,65","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,09","0,00","50,47","6,15","25,20","0,00","0,00","0,00","770,65","770,65","93,85","821,12","1,12","409,95"
"2000","170123","Avinyonet de Puigventós","Alt Empordà","473","0,00","0,00","0,00","11,55","11,40","2,47","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","25,44","8,97","53,79","0,00","0,00","0,00","258,11","258,11","91,03","283,55","1,64","599,48"
"2000","80137","Avinyonet del Penedès","Alt Penedès","1.185","0,00","0,00","0,00","26,09","25,20","2,15","3,29","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,06","0,00","56,79","9,15","47,92","0,00","0,00","0,00","563,82","563,82","90,85","620,60","1,43","523,72"
"2000","80155","Badalona","Barcelonès","210.987","0,00","0,00","45,54","2.805,84","1.128,92","427,61","3.420,54","0,00","0,00","0,00","0,00","0,00","0,00","9,16","9,96","3.853,57","11.701,14","12,48","55,46","0,00","0,00","0,00","82.024,17","82.024,17","87,52","93.725,31","1,22","444,22"
"2000","89045","Badia del Vallès","Vallès Occidental","17.058","0,00","110,60","104,44","93,00","89,00","27,22","218,95","0,00","0,00","0,00","0,00","0,00","0,00","1,18","0,81","320,45","965,65","15,02","56,61","0,00","0,00","0,00","5.461,70","5.461,70","84,98","6.427,35","1,03","376,79"
"2000","80168","Bagà","Berguedà","2.114","0,00","0,00","0,00","38,03","27,26","7,34","14,46","0,00","0,00","0,00","0,00","0,00","0,00","0,31","0,10","22,00","109,50","11,32","51,80","0,00","0,00","0,00","857,87","857,87","88,68","967,37","1,25","457,60"
"2000","250390","Baix Pallars","Pallars Sobirà","351","0,00","0,00","0,00","6,53","9,27","2,52","0,49","0,00","0,00","0,00","0,00","0,00","0,00","0,05","0,02","1,26","20,12","5,54","57,33","0,00","0,00","0,00","342,85","342,85","94,46","362,97","2,83","1.034,11"
"2000","250404","Balaguer","Noguera","13.103","0,00","0,00","0,00","55,57","124,60","9,17","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,23","0,62","12,18","202,37","3,61","15,44","0,00","0,00","0,00","5.406,49","5.406,49","96,39","5.608,86","1,17","428,06"
"2000","80174","Balenyà","Osona","3.025","0,00","0,00","4,57","37,16","53,47","3,36","97,78","0,00","0,00","0,00","0,00","0,00","0,00","0,16","0,14","29,56","226,20","13,48","74,78","0,00","0,00","0,00","1.452,29","1.452,29","86,52","1.678,49","1,52","554,87"
"2000","80180","Balsareny","Bages","3.304","0,00","0,00","0,00","26,20","34,80","6,37","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,30","0,16","0,00","67,83","3,68","20,53","0,00","0,00","0,00","1.774,00","1.774,00","96,32","1.841,83","1,53","557,45"
"2000","430206","Banyeres del Penedès","Baix Penedès","1.524","0,00","0,00","0,00","27,55","24,20","2,51","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,07","0,00","54,33","3,43","35,65","0,00","0,00","0,00","1.530,82","1.530,82","96,57","1.585,16","2,85","1.040,13"
"2000","170157","Banyoles","Pla de l'Estany","14.395","0,00","0,00","0,00","273,78","190,80","47,01","0,00","0,00","0,00","0,00","0,00","0,00","0,00","2,27","0,68","0,00","514,55","6,02","35,75","0,00","0,00","0,00","8.032,47","8.032,47","93,98","8.547,02","1,63","593,75"
"2000","250411","Barbens","Pla d'Urgell","752","0,00","0,00","0,06","8,06","11,68","2,28","0,81","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,04","4,06","26,99","8,67","35,90","0,00","0,00","0,00","284,28","284,28","91,33","311,27","1,13","413,93"
"2000","430213","Barberà de la Conca","Conca de Barberà","401","0,00","0,00","0,00","6,71","14,83","2,67","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","24,23","13,37","60,42","0,00","0,00","0,00","157,00","157,00","86,63","181,23","1,24","451,94"
