"ID","Nom","ON VA?","PROCÉS 1","PROCÉS 2","EN QUÈ ES TRANSFORMA 1","EN QUÈ ES TRANSFORMA 2","CONSELL DE PREVENCIÓ"
"C1/06","Piles i acumuladors (comerços)",,,,,,
"C1/07","Medicaments (farmàcies)",,,,,,
"C1/08","Deixalleria / Punt Verd (vermell)",,,,,,
"C1/09","Especial",,,,,,
"C1/10","Roba (blanc)","Nom il·lustració","Nom Imatge",,,,
"C1",,,,,,,
"Fracció orgànica (marró-taronja)","C1_cont_organica",,,,,,
"Envàs lleuger (groc)","C1_cont_envas",,,,,,
"Envàs vidre (verd)","C1_cont_vidre",,,,,,
"Paper i cartró (blau)","C1_cont_paper",,,,,,
"Rebuig (gris)","C1_cont_resta",,,,,,
"Piles i acumuladors (comerços)","C1_cont_piles",,,,,,
"Medicaments (farmàcies)","C1_cont_farmac",,,,,,
"Deixalleria / Punt Verd (vermell)","C1_deixalleria",,,,,,
"Especial","C1_empresa_fibrociment",,,,,,
"Roba (blanc)","C1_cont_roba",,,,,,
"C2",,,,,,,
"Ecoparc","C2_ecoparc",,,,,,
"Planta Triatge Envasos","C2_planta_triatge_envas",,,,,,
"Planta Triatge Paper cartró","C2_planta_triatge_paper",,,,,,
"Planta Triatge Vidre","C2_planta_triatge_vidre",,,,,,
"Planta Triatge Resta","C2_planta_triatge_resta",,,,,,
"Empreses especialitzades","C2_emp_especialitzada",,,,,,
"Fabricant: Fabriqueta","C3_fabricant",,,,,,
"Planta Reciclatge","C3_planta_reciclatge",,,,,,
"Incineradora","C3_incineradora",,,,,,
"RESULTATS C4",,,,,,,
"Monodipòsit controlat","C4_monodiposit",,,,,,
"Combustible per a calderes (Caldera)","C4_combustible",,,,,,
"Conglomerats per a mobles (Mobles)","C4_conglomerat",,,,,,
"Altres envasos i ampolles de vidre.","C4_vidre_reciclat",,,,,,
"Envasos de plàstic","C4_envasos_nous_plastic",,,,,,
"Piles, Acer inoxidable, Altaveus per a equips de música, aparell electrònic","C4_piles_reciclades",,,,,,
"Llingots de plom.","C4_plom",,,,,,
"Bosses de plàstic, film, teles asfàltiques.","C4_plastic_bosses",,,,,,
"Miralls, finestres","C4_nou_vidre_pla",,,,,,
"Paquets de fulls, cartró per a envasos, revistes i diaris, paper d'embalar, caixes de cartró.","C4_paper_reciclat",,,,,,
"Envasos d'alumini, peces d'automoció, perfils de finestres, senyals trànsit.","C4_alumini_reciclat",,,,,,
"Safates d'alumini, envasos.","C4_safata_alumini_reciclat",,,,,,
"Envasos, samarretes esportives, tubs.","C4_plastic_samarretes",,,,,,
"Caixes de plàstic, penjadors, tubs.","C4_plastic_caixes",,,,,,
"Envasos, cubells, tubs.","C4_plastic_cubell",,,,,,
"Envasos, peces automoció, material construcció, eines.","C4_ferric_construccio",,,,,,
"Embalatges de porexpan, planxes aïllants.","C4_porexpan_reciclat",,,,,,
"Piles, bombetes, termómetres.","C4_mercuri_reciclat",,,,,,
"Tancaments, articles per a l' automoció","C4_peces_automocio",,,,,,
"Peces d'automòbil, enllumenat públic, carcasses de mòbils, d'ordinadors.","C4_carcasses_reciclat",,,,,,
"Peces de policarbonat: CD, pantalles cascos","C4_policarbonat_reciclat",,,,,,
"Articles de vidre que no son envasos.","C4_vidre_reciclat",,,,,,
"Articles de metalls que no son envasos.","C4_metall_reciclat",,,,,,
"Objectes d'alumini.","C4_alumini_reciclat_objectes",,,,,,
"Objectes de plàstic per a mobiliari urbà, objectes de plàstic.","C4_plastic_reciclat_urba",,,,,,
"Objectes metàl·lics.","C4_metall_reciclat_objectes",,,,,,
"Objectes de plàstic (joguines).  ","C4_plastic_reciclat_objectes",,,,,,
"Plata Rajos X, Material fotogràfic","C4_plata_reciclat",,,,,,
"Medicaments processats","C4_medicament_processat",,,,,,
"Oli motor","C4_oli_motor",,,,,,
"Farines i greixos alimentació animal, biogàs","C4_aliment_animal_biogas",,,,,,
"Pneumàtics, rajples parcs infantils, camps de gespa artificial, soles de sabata,jardineres o asfalt per a carreteres.","C4_pneumatic_reciclat",,,,,,
"Tóners i càpsules per a impressores","C4_toners_tinta",,,,,,
"Tubs, materials construcció, soles sabates","C4_pvc_reciclat",,,,,,
"La recollida selectiva de la roba que dipositem al contenidor dóna feina a col•lectius desfavorits, aglutinats per empreses d’inserció social.","C4_roba_solidaritat",,,,,,
"Elements aïllants, filtres industrials.","C4_filtre_industrial",,,,,,
