concepte,any,municipi,renda familiar disponible bruta,renda familiar disponible bruta,renda familiar disponible bruta
indicador,,,per habitant (índex Catalunya=100),per habitant (€),valor (milers €)
293,2001.0,Sant Andreu de Llavaneres,147.0,18000.0,139768.0
294,2001.0,Sant Andreu de la Barca,81.9,10000.0,218702.0
295,2001.0,Sant Boi de Llobregat,77.7,9500.0,756910.0
296,2001.0,Sant Celoni,90.7,11100.0,144865.0
297,2001.0,Sant Cugat del Vallès,148.6,18200.0,1049836.0
298,2001.0,Sant Esteve Sesrovires,87.0,10600.0,57958.0
299,2001.0,Sant Feliu de Guíxols,97.9,12000.0,225368.0
300,2001.0,Sant Feliu de Llobregat,91.2,11100.0,447648.0
301,2001.0,Sant Fost de Campsentelles,108.7,13300.0,87636.0
302,2001.0,Sant Fruitós de Bages,101.7,12400.0,73034.0
303,2001.0,Sant Hilari Sacalm,102.4,12500.0,64469.0
304,2001.0,Sant Joan Despí,94.7,11600.0,331762.0
305,2001.0,Sant Joan de Vilatorrada,87.6,10700.0,100458.0
306,2001.0,Sant Just Desvern,141.8,17300.0,248977.0
307,2001.0,Sant Pere de Ribes,87.7,10700.0,250428.0
308,2001.0,Sant Quirze del Vallès,124.0,15200.0,205939.0
309,2001.0,Sant Sadurní d'Anoia,97.1,11900.0,118116.0
310,2001.0,Sant Vicenç de Castellet,86.4,10600.0,75606.0
311,2001.0,Sant Vicenç dels Horts,77.8,9500.0,238575.0
312,2001.0,Santa Coloma de Cervelló,99.0,12100.0,64658.0
313,2001.0,Santa Coloma de Farners,103.3,12600.0,116901.0
314,2001.0,Santa Coloma de Gramenet,73.1,8900.0,1035220.0
315,2001.0,Santa Margarida de Montbui,73.2,8900.0,81132.0
316,2001.0,Santa Margarida i els Monjos,81.4,10000.0,49819.0
317,2001.0,Santa Maria de Palautordera,92.7,11300.0,75798.0
318,2001.0,Santa Perpètua de Mogoda,92.9,11400.0,219852.0
319,2001.0,Santpedor,100.6,12300.0,67144.0
320,2001.0,Sentmenat,89.9,11000.0,65145.0
