,Unnamed: 0,Data d'inici,Municipis,Àmbit Territorial,Cens 2024,Percentatge població servida amb el PaP,Fraccions recollides PaP,Horari de Recollida,habitants servits amb el PaP
249,250.0,2005-10-17,SANT JOAN DE LES ABADESSES,Ripollès,3375.0,97.0,5 [FO+R+V+P/C+E],nocturn,3273.75
250,251.0,2002-03-08,CERVERA,Segarra,9533.0,100.0,4 [FO+R+P/C+E],nocturn,9533.0
251,252.0,2002-05-14,GUISSONA,Segarra,7635.0,100.0,4 [FO+R+P/C+E],nocturn,7635.0
252,253.0,2002-06-18,SANT GUIM DE FREIXENET,Segarra,1222.0,100.0,4 [FO+R+P/C+E],nocturn,1222.0
253,254.0,2002-06-18,TORÀ,Segarra,1207.0,100.0,4 [FO+R+P/C+E],nocturn,1207.0
254,255.0,2019-02-19,SANAÜJA,Segarra,379.0,100.0,4 [FO+R+P/C+E],nocturn,379.0
255,256.0,2019-03-19,SANT RAMON,Segarra,495.0,100.0,4 [FO+R+P/C+E],nocturn,495.0
256,257.0,2021-05-03,TARROJA DE LA SEGARRA,Segarra,170.0,100.0,4 [FO+R+P/C+E],nocturn,170.0
257,258.0,2005-11-01,ARTESA DE LLEIDA,Segrià,1539.0,100.0,5 [FO+R+V+P/C+E],nocturn,1539.0
258,259.0,2018-10-01,ASPA,Segrià,220.0,100.0,5 [FO+R+V+P/C+E],nocturn,220.0
259,260.0,2018-10-01,CORBINS,Segrià,1502.0,100.0,5 [FO+R+V+P/C+E],nocturn,1502.0
260,261.0,2018-10-01,ELS ALAMÚS,Segrià,800.0,100.0,5 [FO+R+V+P/C+E],nocturn,800.0
261,262.0,2018-10-01,LA PORTELLA,Segrià,735.0,100.0,5 [FO+R+V+P/C+E],nocturn,735.0
262,263.0,2018-10-01,PUIGVERD DE LLEIDA,Segrià,1418.0,100.0,5 [FO+R+V+P/C+E],nocturn,1418.0
263,264.0,2018-10-01,SUNYER,Segrià,313.0,100.0,5 [FO+R+V+P/C+E],nocturn,313.0
264,265.0,2018-10-15,MONTOLIU DE LLEIDA,Segrià,475.0,100.0,5 [FO+R+V+P/C+E],nocturn,475.0
265,266.0,2018-10-15,SERÒS,Segrià,1902.0,100.0,5 [FO+R+V+P/C+E],nocturn,1902.0
266,267.0,2018-10-15,SOSES,Segrià,1881.0,100.0,5 [FO+R+V+P/C+E],nocturn,1881.0
267,268.0,2018-10-15,SUDANELL,Segrià,897.0,100.0,5 [FO+R+V+P/C+E],nocturn,897.0
268,269.0,2018-10-29,ALMATRET,Segrià,305.0,100.0,5 [FO+R+V+P/C+E],nocturn,305.0
269,270.0,2018-10-29,LA GRANJA D'ESCARP,Segrià,943.0,100.0,5 [FO+R+V+P/C+E],nocturn,943.0
270,271.0,2018-10-29,LLARDECANS,Segrià,428.0,100.0,5 [FO+R+V+P/C+E],nocturn,428.0
271,272.0,2018-10-29,MAIALS,Segrià,921.0,100.0,5 [FO+R+V+P/C+E],nocturn,921.0
272,273.0,2018-10-29,MASSALCOREIG,Segrià,584.0,100.0,5 [FO+R+V+P/C+E],nocturn,584.0
273,274.0,2018-10-29,SARROCA DE LLEIDA,Segrià,381.0,100.0,5 [FO+R+V+P/C+E],nocturn,381.0
274,275.0,2018-10-29,TORREBESSES,Segrià,273.0,100.0,5 [FO+R+V+P/C+E],nocturn,273.0
275,276.0,2018-11-05,LLEIDA (Vila Montcada i Ciutat Jardí) ampliació 14 de març 2021 Pardinyes i Balafia,Segrià,144379.0,8.0,3 [FO+MP+R],nocturn,11550.32
276,277.0,2018-11-19,ALFARRÀS,Segrià,2778.0,100.0,5 [FO+R+V+P/C+E],nocturn,2778.0
