,Codi_Municipi,Municipi,Comarca,Província
429,171030,Maçanet de la Selva,Selva,Girona/Barcelona (4)
430,81228,Mediona,Alt Penedès,Barcelona
431,251348,Menàrguens,Noguera,Lleida
432,170998,Meranges,Cerdanya,Girona/Lleida (2)
433,171058,Mieres,Garrotxa,Girona
434,430831,"Milà, el",Alt Camp,Tarragona
435,251351,Miralcamp,Pla d'Urgell,Lleida
436,430846,Miravet,Ribera d'Ebre,Tarragona
437,81385,Moià,Moianès,Barcelona
438,430859,"Molar, el",Priorat,Tarragona
439,81234,Molins de Rei,Baix Llobregat,Barcelona
440,251370,Mollerussa,Pla d'Urgell,Lleida
441,171061,Mollet de Peralada,Alt Empordà,Girona
442,81249,Mollet del Vallès,Vallès Oriental,Barcelona
443,171077,Molló,Ripollès,Girona
444,251364,"Molsosa, la",Solsonès,Lleida
445,81287,Monistrol de Calders,Moianès,Barcelona
446,81271,Monistrol de Montserrat,Bages,Barcelona
447,430918,Mont-ral,Alt Camp,Tarragona
448,171100,Mont-ras,Baix Empordà,Girona
449,430923,Mont-roig del Camp,Baix Camp,Tarragona
450,171096,Montagut i Oix,Garrotxa,Girona
451,430862,Montblanc,Conca de Barberà,Tarragona
452,430884,Montbrió del Camp,Baix Camp,Tarragona
453,81252,Montcada i Reixac,Vallès Occidental,Barcelona
454,81304,Montclar,Berguedà,Barcelona/Lleida (1)
455,251399,Montellà i Martinet,Cerdanya,Girona/Lleida (2)
456,81311,Montesquiu,Osona,Barcelona/Girona (3)
457,251403,Montferrer i Castellbò,Alt Urgell,Lleida
458,430897,Montferri,Alt Camp,Tarragona
459,251386,Montgai,Noguera,Lleida
460,81265,Montgat,Maresme,Barcelona
461,81326,Montmajor,Berguedà,Barcelona/Lleida (1)
462,81332,Montmaneu,Anoia,Barcelona
463,430901,"Montmell, el",Baix Penedès,Tarragona
464,81350,Montmeló,Vallès Oriental,Barcelona
465,251425,Montoliu de Lleida,Segrià,Lleida
466,251410,Montoliu de Segarra,Segarra,Lleida
467,251431,Montornès de Segarra,Segarra,Lleida
468,81363,Montornès del Vallès,Vallès Oriental,Barcelona
469,81379,Montseny,Vallès Oriental,Barcelona
470,430957,"Morell, el",Tarragonès,Tarragona
471,430960,"Morera de Montsant, la",Priorat,Tarragona
472,81290,Muntanyola,Osona,Barcelona/Girona (3)
473,81398,Mura,Bages,Barcelona
474,430939,Móra d'Ebre,Ribera d'Ebre,Tarragona
475,430944,Móra la Nova,Ribera d'Ebre,Tarragona
476,251459,Nalec,Urgell,Lleida
477,250254,Naut Aran,Aran,Lleida
478,81402,Navarcles,Bages,Barcelona
479,171117,Navata,Alt Empordà,Girona
480,81419,Navàs,Bages,Barcelona
481,251462,Navès,Solsonès,Lleida
482,81424,"Nou de Berguedà, la",Berguedà,Barcelona/Lleida (1)
483,430976,"Nou de Gaià, la",Tarragonès,Tarragona
484,430982,Nulles,Alt Camp,Tarragona
485,251484,Odèn,Solsonès,Lleida
486,171122,Ogassa,Ripollès,Girona
487,81461,Olesa de Bonesvalls,Alt Penedès,Barcelona
488,81477,Olesa de Montserrat,Baix Llobregat,Barcelona
489,251497,Oliana,Alt Urgell,Lleida
490,251500,Oliola,Noguera,Lleida
491,251517,Olius,Solsonès,Lleida
492,81483,Olivella,Garraf,Barcelona
493,81496,Olost,Lluçanès,Barcelona
494,171143,Olot,Garrotxa,Girona
495,251522,"Oluges, les",Segarra,Lleida
496,81445,Olvan,Berguedà,Barcelona/Lleida (1)
497,81458,Olèrdola,Alt Penedès,Barcelona
498,251538,"Omellons, els",Garrigues,Lleida
499,251543,"Omells de na Gaia, els",Urgell,Lleida
500,171156,Ordis,Alt Empordà,Girona
501,251556,Organyà,Alt Urgell,Lleida
502,81516,Oristà,Lluçanès,Barcelona
503,81521,Orpí,Anoia,Barcelona
504,81509,Orís,Osona,Barcelona/Girona (3)
505,251569,Os de Balaguer,Noguera,Lleida
506,171169,Osor,Selva,Girona/Barcelona (4)
507,251575,Ossó de Sió,Urgell,Lleida
508,81542,Pacs del Penedès,Alt Penedès,Barcelona
509,81555,Palafolls,Maresme,Barcelona
510,171175,Palafrugell,Baix Empordà,Girona
511,171181,Palamós,Baix Empordà,Girona
